HOME_MARKET,n,accuracy,avg_p_home_win,actual_home_win_rate
large,452,0.6415929203539823,0.5621608153761062,0.5796460176991151
medium,450,0.6311111111111111,0.5647168896666667,0.5377777777777778
small,328,0.6371951219512195,0.5268909709146342,0.5
